ParticipantNo,D_t,W_t,R_t,Repetition,Trial,PressedTime,Hit
0,0.5,0.2,0.1,15,177,0.432052,1
0,0.4,0.1,0.1,5,178,0.4176952,0
0,0.5,0.2,0.1,16,179,0.4595648,1
0,0.4,0.2,0.1,4,180,0.3761495,1
0,0.4,0.2,0.1,2,181,0.417396,1
0,0.6,0.2,0.1,18,182,0.4597601,0
0,0.6,0.2,0.1,0,183,0.5292894,1
0,0.4,0.1,0.1,19,184,0.4034072,0
0,0.6,0.1,0.1,10,185,0.5151849,1
0,0.5,0.2,0.1,19,186,0.4454008,1
0,0.4,0.1,0.1,17,187,0.3897223,1
0,0.6,0.1,0.1,19,188,0.4172832,0
0,0.5,0.1,0.1,19,189,0.487098,1
0,0.4,0.1,0.1,7,190,0.3755167,1
0,0.5,0.2,0.1,11,191,0.3763583,0
0,0.4,0.1,0.1,6,192,0.4175085,0
0,0.6,0.1,0.1,7,193,0.515489,1
0,0.4,0.1,0.1,0,194,0.3898207,1
0,0.6,0.1,0.1,18,195,0.5851147,1
0,0.5,0.2,0.1,2,196,0.4042222,1
0,0.5,0.1,0.1,2,197,0.5014936,0
0,0.6,0.1,0.1,11,198,0.5566494,1
0,0.5,0.1,0.1,15,199,0.5011439,0
0,0.6,0.2,0.1,11,200,0.6126223,1
0,0.4,0.1,0.1,2,201,0.3621391,1
0,0.6,0.2,0.1,3,202,0.5289724,1
0,0.6,0.2,0.1,6,203,0.5431933,1
0,0.5,0.1,0.1,3,204,0.4736172,1
0,0.4,0.2,0.1,11,205,0.403952,1
0,0.6,0.1,0.1,17,206,0.4456024,0
0,0.4,0.2,0.1,18,207,0.4176295,1
0,0.6,0.2,0.1,10,208,0.6265785,1
0,0.4,0.1,0.1,8,209,0.3903686,1
0,0.5,0.1,0.1,6,210,0.4733462,1
0,0.4,0.2,0.1,6,211,0.4040097,1
0,0.4,0.2,0.1,14,212,0.4038288,1
0,0.6,0.1,0.1,9,213,0.4873548,0
0,0.4,0.2,0.1,10,214,0.4036045,1
0,0.4,0.2,0.1,16,215,0.4319638,1
0,0.6,0.1,0.1,1,216,0.5290479,1
0,0.4,0.2,0.1,13,217,0.4321491,1
0,0.4,0.2,0.1,5,218,0.3478447,1
0,0.4,0.2,0.1,7,219,0.4317809,1
0,0.5,0.2,0.1,8,220,0.542845,1
0,0.4,0.1,0.1,10,221,0.3901246,1
0,0.5,0.1,0.1,5,222,0.3898093,0
0,0.5,0.1,0.1,7,223,0.5430801,0
0,0.6,0.1,0.1,16,224,0.5709976,1
0,0.6,0.2,0.1,1,225,0.5848106,1
0,0.5,0.2,0.1,6,226,0.4448538,1
0,0.6,0.2,0.1,12,227,0.6264412,1
0,0.6,0.2,0.1,9,228,0.5849691,1
0,0.4,0.1,0.1,4,229,0.4450752,0
0,0.5,0.2,0.1,5,230,0.3899591,0
0,0.6,0.1,0.1,6,231,0.5989323,1
0,0.5,0.1,0.1,14,232,0.431959,1
0,0.5,0.1,0.1,13,233,0.4321004,1
0,0.5,0.2,0.1,17,234,0.4591085,1
0,0.6,0.1,0.1,3,235,0.4593584,0
0,0.6,0.1,0.1,8,236,0.5011654,1
0,0.6,0.1,0.1,14,237,0.6126877,0
0,0.5,0.2,0.1,1,238,0.417537,1
0,0.5,0.2,0.1,7,239,0.5145516,1
0,0.6,0.1,0.1,2,240,0.5983214,1
0,0.4,0.2,0.15,16,241,0.4318961,1
0,0.4,0.1,0.15,6,242,0.389971,0
0,0.5,0.1,0.15,11,243,0.3621986,1
0,0.4,0.2,0.15,5,244,0.4034979,1
0,0.4,0.2,0.15,7,245,0.3483726,1
0,0.4,0.2,0.15,9,246,0.3898633,1
0,0.4,0.1,0.15,8,247,0.3484469,1
0,0.4,0.1,0.15,13,248,0.3480672,1
0,0.6,0.2,0.15,6,249,0.2786837,0
0,0.5,0.2,0.15,14,250,0.4174441,1
0,0.5,0.1,0.15,7,251,0.4311589,1
0,0.4,0.2,0.15,14,252,0.3899158,1
0,0.5,0.1,0.15,19,253,0.4180465,1
0,0.5,0.1,0.15,9,254,0.3619562,1
0,0.6,0.2,0.15,11,255,0.543423,1
0,0.6,0.2,0.15,3,256,0.4596629,1
0,0.6,0.1,0.15,18,257,0.5010273,1
0,0.6,0.2,0.15,0,258,0.4594771,1
0,0.5,0.2,0.15,1,259,0.4875979,1
0,0.5,0.1,0.15,12,260,0.4318879,1
0,0.6,0.2,0.15,19,261,0.4868898,1
0,0.5,0.2,0.15,3,262,0.5149088,1
0,0.5,0.2,0.15,7,263,0.5009056,1
0,0.4,0.2,0.15,0,264,0.4453654,1
0,0.5,0.1,0.15,2,265,0.4317935,1
0,0.6,0.2,0.15,14,266,0.5010744,1
0,0.4,0.2,0.15,6,267,0.4174267,1
0,0.4,0.1,0.15,14,268,0.3618526,0
0,0.4,0.1,0.15,15,269,0.4039256,0
0,0.4,0.1,0.15,16,270,0.3892459,0
0,0.5,0.2,0.15,17,271,0.347893,0
0,0.5,0.1,0.15,13,272,0.4316636,1
0,0.5,0.1,0.15,6,273,0.4733247,0
0,0.4,0.2,0.15,17,274,0.4035717,1
0,0.4,0.2,0.15,10,275,0.3482457,1
0,0.6,0.2,0.15,8,276,0.5011786,1
0,0.4,0.2,0.15,13,277,0.3756999,1
0,0.6,0.2,0.15,10,278,0.4592406,1
0,0.6,0.2,0.15,17,279,0.5844114,1
0,0.5,0.1,0.15,0,280,0.3618434,1
0,0.4,0.1,0.15,11,281,0.3759481,0
0,0.6,0.1,0.15,16,282,0.459541,1
0,0.6,0.1,0.15,4,283,0.5010254,1
0,0.5,0.2,0.15,0,284,0.4317563,1
0,0.4,0.1,0.15,5,285,0.389906,0
0,0.6,0.1,0.15,10,286,0.4595877,1
0,0.4,0.1,0.15,19,287,0.4037429,0
0,0.5,0.1,0.15,17,288,0.3620151,1
0,0.6,0.2,0.15,12,289,0.5708576,1
0,0.6,0.1,0.15,7,290,0.4591522,1
0,0.4,0.1,0.15,7,291,0.375789,0
0,0.6,0.2,0.15,15,292,0.3896087,0
0,0.4,0.1,0.15,17,293,0.4039085,0
0,0.6,0.2,0.15,18,294,0.4177569,0
0,0.5,0.2,0.15,18,295,0.4735058,1
0,0.6,0.1,0.15,12,296,0.4035522,0
0,0.5,0.1,0.15,15,297,0.4871317,0
0,0.6,0.1,0.15,5,298,0.4036741,0
0,0.5,0.2,0.15,10,299,0.474004,1
0,0.5,0.1,0.15,4,300,0.4735356,0
0,0.6,0.1,0.15,9,301,0.3896518,0
0,0.6,0.2,0.15,2,302,0.5153637,1
0,0.6,0.1,0.15,17,303,0.5154327,1
0,0.5,0.2,0.15,9,304,0.4734907,1
0,0.5,0.2,0.15,16,305,0.4458668,1
0,0.5,0.2,0.15,19,306,0.4453869,1
